date,maxtemp,mintemp,weather_rain,weather_snow,weather_sun
20000101,-0.7,-4.9,0.0,,3.7
20000102,-1.9,-3.6,0.0,,0.4
20000103,1.1,-0.8,0.0,,0.0
20000104,0.1,-1.0,0.0,,0.0
20000105,3.9,0.2,0.0,,0.8
20000106,2.3,-0.9,0.0,,4.5
20000107,-2.1,-2.8,0.0,,0.0
20000108,-0.1,-1.2,0.0,,0.0
20000109,-0.7,-1.4,0.0,,0.0
20000110,3.0,0.0,0.0,,0.9
20000111,3.1,1.3,0.0,,0.4
20000112,3.8,0.3,0.0,,4.3
20000113,-2.4,-3.8,0.08,,0.0
20000114,-0.9,-1.7,0.0,,0.0
20000115,0.9,-0.7,0.0,,0.0
20000116,1.1,-1.0,0.0,,2.5
20000117,4.7,1.6,0.15,,1.0
20000118,5.7,2.1,0.26,,0.5
20000119,2.0,0.6,0.0,,7.0
20000120,1.6,-0.4,0.75,,3.7
20000121,4.3,0.9,0.05,,1.6
20000122,-1.2,-4.0,0.0,,1.4
20000123,-2.6,-3.5,0.0,,0.1
20000124,-2.2,-4.4,0.0,,7.8
20000125,-1.9,-6.5,0.0,,8.1
20000126,-3.0,-4.3,0.0,,0.7
20000127,2.7,1.2,0.0,,0.2
20000128,4.1,0.7,0.0,,6.4
20000129,5.5,2.3,0.83,,2.9
20000130,8.4,6.3,0.6,,3.9
20000131,12.7,8.3,0.01,,2.5
20000201,14.0,9.6,0.0,,5.8
20000202,12.2,7.2,0.0,,3.4
20000203,10.6,7.1,0.01,,5.9
20000204,6.2,4.1,0.0,,8.8
20000205,9.4,7.1,0.0,,3.5
20000206,14.6,9.2,0.0,,5.6
20000207,7.1,3.1,0.0,,0.6
20000208,12.3,7.8,0.38,,1.9
20000209,10.5,7.6,0.05,,0.2
20000210,9.1,5.5,0.0,,8.3
20000211,7.6,3.5,0.0,,3.2
20000212,7.3,5.3,0.0,,1.3
20000213,9.5,6.5,0.03,,5.3
20000214,8.1,3.8,0.13,,6.6
20000215,4.3,1.9,0.08,,3.0
20000216,5.8,3.3,0.99,,0.2
20000217,5.1,3.0,0.0,,3.2
20000218,5.1,2.0,0.0,,8.9
20000219,4.9,2.0,0.02,,1.8
20000220,5.7,3.0,0.0,,1.0
20000221,4.2,1.4,0.0,,3.9
20000222,3.4,-0.1,0.0,,5.4
20000223,3.4,0.1,0.0,,1.0
20000224,4.3,1.9,0.0,,0.8
20000225,10.3,5.7,0.0,,0.3
20000226,10.7,4.8,0.0,,9.2
20000227,9.5,5.2,0.0,,9.2
20000228,9.8,4.8,0.0,,9.8
20000229,12.1,5.9,0.0,,9.2
